gamer_tag,full_name,role,residency,country,team
Leko,Whesley Holler,Top,Unknown/None,brazil,CNB
Revolta,Gabriel Henud,Jungle,Unknown/None,brazil,CNB
takeshi,Murilo Alves,Mid,Unknown/None,brazil,CNB
manajj,André Rocha,Ad Carry,Unknown/None,brazil,CNB
Alocs,Leonardo Belo,Support,Unknown/None,brazil,CNB
LEP,Pedro Luiz Marcari,Top,Unknown/None,brazil,KaBuM
Danagorn,Daniel Drummond,Jungle,Unknown/None,brazil,KaBuM
TinOwns,Thiago Sartori,Mid,Unknown/None,brazil,KaBuM
dans,Daniel Dias,Ad Carry,Unknown/None,brazil,KaBuM
bit1,Bruno Lima,Support,Unknown/None,brazil,KaBuM
Espeon,Martin Gonçalves,Support,Unknown/None,brazil,KaBuM
Mylon,Matheus Borges,Top,Unknown/None,brazil,kStars
Winged,Park Tae Jin (박태진),Jungle,Unknown/None,south korea,kStars
SuNo,An Sun-ho (안순호),Mid,Unknown/None,south korea,kStars
brTT,Felipe Gonçalves,Ad Carry,Unknown/None,brazil,kStars
Loop,Caio Almeida,Support,Unknown/None,brazil,kStars
Venon,Fabio Guimarães,Top,Unknown/None,brazil,paiN
SirT,Thúlio Carlos,Jungle,Unknown/None,brazil,paiN
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Unknown/None,brazil,paiN
owN,Marcelo Shiwa,Ad Carry,Unknown/None,brazil,paiN
Minerva,Gustavo Alves,Support,Unknown/None,brazil,paiN
element,Arlindo Leal Neto,Top,Unknown/None,brazil,awp
Turtle,Gabriel Peixoto,Jungle,Unknown/None,brazil,awp
yeTz,Mateus Vieira,Mid,Unknown/None,brazil,awp
Digolera,Rodrigo Haddad,Ad Carry,Unknown/None,brazil,awp
Gigante,Kim Gutman,Support,Unknown/None,brazil,awp
w0lv,Michel Bruno,Top,Unknown/None,brazil,United
Jockster,Luan Cardoso,Jungle,Unknown/None,brazil,United
Fire,Guilherme Bruno,Mid,Unknown/None,brazil,United
micaO,Micael Rodrigues,Ad Carry,Unknown/None,brazil,United
Eryon,Márcio Reis,Support,Unknown/None,brazil,United
bet0,Roberto Alves,Top,Unknown/None,brazil,BKG
Xnove,Marcelo Roma,Jungle,Unknown/None,brazil,BKG
FifoyZ,Felipe Cheida,Mid,Unknown/None,brazil,BKG
RMN,Ramon Gomes,Ad Carry,Unknown/None,brazil,BKG
Floky (Kaoann Martins),Kaoann Martins,Support,Unknown/None,brazil,BKG
Yang (Felipe Zhao),Felipe Zhao,Top,Unknown/None,brazil,INTZ
Djokovic,Thiago Maia,Jungle,Unknown/None,brazil,INTZ
tockers,Gabriel Claumann,Mid,Unknown/None,brazil,INTZ
micaO,Micael Rodrigues,Ad Carry,Unknown/None,brazil,INTZ
Jockster,Luan Cardoso,Support,Unknown/None,brazil,INTZ
Minerva,Gustavo Alves,Ad Carry,Unknown/None,brazil,KaBuM
dans,Daniel Dias,Support,Unknown/None,brazil,KaBuM
Kaov,Luigi Mataratzis,Top,Unknown/None,brazil,LBR
Tecnosh,Joseph Touma,Jungle,Unknown/None,brazil,LBR
StoneD YoDa,Felipe Noronha,Mid,Unknown/None,brazil,LBR
DreamsDY,Thiago Portes,Ad Carry,Unknown/None,brazil,LBR
Anjinho,Roberto Buzzoleti,Support,Unknown/None,brazil,LBR
Lactea,Han Gi-hyeon (한기현),Top,Unknown/None,south korea,paiN
Olleh,Kim Joo-sung (김주성),Support,Unknown/None,south korea,paiN
DRAEK,Rodrigo Oliveira,Jungle,Unknown/None,brazil,awp
Aoshi,Franklin Coutinho,Top,Brazil,brazil,CNB
Nappon,Carlos Rücker,Jungle,Brazil,brazil,CNB
Electro,Lucas Dal Prá,Mid,Brazil,brazil,CNB
Kalec,Rodrigo Rodrigues,Ad Carry,Brazil,brazil,CNB
Wos,Willyan Bonpam,Support,Brazil,brazil,CNB
Soulsilver,Rafael Lanna,Top,Brazil,brazil,deX
7ico,Mateus Garcez,Top,Brazil,brazil,deX
Piolho,Alexandre von Flach,Jungle,Brazil,brazil,deX
prZo,Gabriel Hirota,Mid,Brazil,brazil,deX
Rellik,André Guerra,Ad Carry,Brazil,brazil,deX
Anjinho,Roberto Buzzoleti,Support,Brazil,brazil,deX
Yang (Felipe Zhao),Felipe Zhao,Top,Brazil,brazil,INTZ
Revolta,Gabriel Henud,Jungle,Brazil,brazil,INTZ
tockers,Gabriel Claumann,Mid,Brazil,brazil,INTZ
micaO,Micael Rodrigues,Ad Carry,Brazil,brazil,INTZ
Jockster,Luan Cardoso,Support,Brazil,brazil,INTZ
element,Arlindo Leal Neto,Top,Brazil,brazil,JAYOB
Oxydrean,Matheus Fidalgo,Jungle,Brazil,brazil,JAYOB
yeTz,Mateus Vieira,Mid,Brazil,brazil,JAYOB
Theusma,Matheus Lima,Ad Carry,Brazil,brazil,JAYOB
TheFoxz,Renato de Souza,Ad Carry,Brazil,brazil,JAYOB
Riyev,Marcelo Carrara,Support,Brazil,brazil,JAYOB
huez0rd,Guilherme Moraes,Support,Brazil,brazil,JAYOB
SkyBart,Mateus Neves,Top,Brazil,brazil,Kabum B
Danagorn,Daniel Drummond,Jungle,Brazil,brazil,Kabum B
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,Kabum B
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,Kabum B
Espeon,Martin Gonçalves,Support,Brazil,brazil,Kabum B
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,Kabum O
dans,Daniel Dias,Unknown,Brazil,brazil,Kabum O
BruNo (Bruno Oliveira),Bruno Oliveira,Jungle,Brazil,brazil,Kabum O
TinOwns,Thiago Sartori,Mid,Brazil,brazil,Kabum O
Digolera,Rodrigo Haddad,Ad Carry,Brazil,brazil,Kabum O
Eryon,Márcio Reis,Unknown,Brazil,brazil,Kabum O
Mylon,Matheus Borges,Top,Brazil,brazil,kStars
DayDream,Kang Kyung-min (강경민),Jungle,South Korea,south korea,kStars
takeshi,Murilo Alves,Mid,Brazil,brazil,kStars
Emperor (Kim Jin-hyun),Kim Jin-hyun (김진현),Ad Carry,South Korea,south korea,kStars
Loop,Caio Almeida,Support,Brazil,brazil,kStars
Leko,Whesley Holler,Top,Brazil,brazil,paiN
SirT,Thúlio Carlos,Jungle,Brazil,brazil,paiN
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Brazil,brazil,paiN
brTT,Felipe Gonçalves,Ad Carry,Brazil,brazil,paiN
Dioud,Hugo Padioleau,Support,Europe,france,paiN
Aoshi,Franklin Coutinho,Top,Brazil,brazil,CNB e-Sports Club
Nappon,Carlos Rücker,Jungle,Brazil,brazil,CNB e-Sports Club
Electro,Lucas Dal Prá,Mid,Brazil,brazil,CNB e-Sports Club
Kalec,Rodrigo Rodrigues,Ad Carry,Brazil,brazil,CNB e-Sports Club
Wos,Willyan Bonpam,Support,Brazil,brazil,CNB e-Sports Club
Soulsilver,Rafael Lanna,Top,Brazil,brazil,Dexterity Team
Piolho,Alexandre von Flach,Jungle,Brazil,brazil,Dexterity Team
prZo,Gabriel Hirota,Mid,Brazil,brazil,Dexterity Team
Rellik,André Guerra,Ad Carry,Brazil,brazil,Dexterity Team
Anjinho,Roberto Buzzoleti,Support,Brazil,brazil,Dexterity Team
Yang (Felipe Zhao),Felipe Zhao,Top,Brazil,brazil,INTZ e-Sports
Revolta,Gabriel Henud,Jungle,Brazil,brazil,INTZ e-Sports
tockers,Gabriel Claumann,Mid,Brazil,brazil,INTZ e-Sports
micaO,Micael Rodrigues,Ad Carry,Brazil,brazil,INTZ e-Sports
Jockster,Luan Cardoso,Support,Brazil,brazil,INTZ e-Sports
SkyBart,Mateus Neves,Top,Brazil,brazil,KaBuM! Black
Danagorn,Daniel Drummond,Jungle,Brazil,brazil,KaBuM! Black
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,KaBuM! Black
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,KaBuM! Black
Espeon,Martin Gonçalves,Support,Brazil,brazil,KaBuM! Black
