gamer_tag,full_name,role,residency,country,team
Alocs,Leonardo Belo,Support,Unknown/None,brazil,CNB
Leko,Whesley Holler,Top,Unknown/None,brazil,CNB
manajj,André Rocha,Ad Carry,Unknown/None,brazil,CNB
Revolta,Gabriel Henud,Jungle,Unknown/None,brazil,CNB
takeshi,Murilo Alves,Mid,Unknown/None,brazil,CNB
Espeon,Martin Gonçalves,Support,Unknown/None,brazil,KaBuM
LEP,Pedro Luiz Marcari,Top,Unknown/None,brazil,KaBuM
Danagorn,Daniel Drummond,Jungle,Unknown/None,brazil,KaBuM
TinOwns,Thiago Sartori,Mid,Unknown/None,brazil,KaBuM
bit1,Bruno Lima,Support,Unknown/None,brazil,KaBuM
dans,Daniel Dias,Ad Carry,Unknown/None,brazil,KaBuM
SuNo,An Sun-ho (안순호),Mid,Unknown/None,south korea,kStars
Winged,Park Tae-jin (박태진),Jungle,Unknown/None,south korea,kStars
Mylon,Matheus Borges,Top,Unknown/None,brazil,kStars
brTT,Felipe Gonçalves,Ad Carry,Unknown/None,brazil,kStars
Loop,Caio Almeida,Support,Unknown/None,brazil,kStars
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Unknown/None,brazil,paiN
owN,Marcelo Shiwa,Ad Carry,Unknown/None,brazil,paiN
Minerva,Gustavo Alves,Support,Unknown/None,brazil,paiN
Venon,Fabio Guimarães,Top,Unknown/None,brazil,paiN
SirT,Thúlio Carlos,Jungle,Unknown/None,brazil,paiN
Gigante,Kim Gutman,Support,Unknown/None,brazil,awp
yeTz,Mateus Vieira,Mid,Unknown/None,brazil,awp
element,Arlindo Leal Lana Neto,Top,Unknown/None,brazil,awp
Digolera,Rodrigo Haddad,Ad Carry,Unknown/None,brazil,awp
Turtle,Gabriel Peixoto,Jungle,Unknown/None,brazil,awp
micaO,Micael Rodrigues,Ad Carry,Unknown/None,brazil,United
Eryon,Márcio Reis,Support,Unknown/None,brazil,United
w0lv,Michel Bruno,Top,Unknown/None,brazil,United
Fire,Guilherme Bruno,Mid,Unknown/None,brazil,United
Jockster,Luan Cardoso,Jungle,Unknown/None,brazil,United
RMN,Ramon Gomes,Ad Carry,Unknown/None,brazil,BKG
Xnove,Marcelo Roma,Jungle,Unknown/None,brazil,BKG
bet0,Roberto Alves,Top,Unknown/None,brazil,BKG
FifoyZ,Felipe Cheida,Mid,Unknown/None,brazil,BKG
Floky (Kaoann Martins),Kaoann Martins,Support,Unknown/None,brazil,BKG
Jockster,Luan Cardoso,Support,Unknown/None,brazil,INTZ
tockers,Gabriel Claumann,Mid,Unknown/None,brazil,INTZ
Djokovic,Thiago Maia,Jungle,Unknown/None,brazil,INTZ
Yang (Felipe Zhao),Felipe Zhao,Top,Unknown/None,brazil,INTZ
micaO,Micael Rodrigues,Ad Carry,Unknown/None,brazil,INTZ
