gamer_tag,full_name,role,residency,country,team
Minerva,Gustavo Alves,Ad Carry,Unknown/None,brazil,KaBuM
dans,Daniel Dias,Support,Unknown/None,brazil,KaBuM
StoneD YoDa,Felipe Noronha,Mid,Unknown/None,brazil,LBR
Kaov,Luigi Mataratzis,Top,Unknown/None,brazil,LBR
Tecnosh,Joseph Touma,Jungle,Unknown/None,brazil,LBR
Anjinho,Roberto Buzzoleti,Support,Unknown/None,brazil,LBR
DreamsDY,Thiago Portes,Ad Carry,Unknown/None,brazil,LBR
Lactea,Han Gi-hyeon (한기현),Top,Unknown/None,south korea,paiN
Olleh,Kim Joo-sung (김주성),Support,Unknown/None,south korea,paiN
DRAEK,Rodrigo Oliveira,Jungle,Unknown/None,brazil,awp
Aoshi,Franklin Coutinho,Top,Brazil,brazil,CNB
Kalec,Rodrigo Rodrigues,Ad Carry,Brazil,brazil,CNB
Wos,Willyan Bonpam,Support,Brazil,brazil,CNB
Electro,Lucas Dal Prá,Mid,Brazil,brazil,CNB
Nappon,Carlos Rücker,Jungle,Brazil,brazil,CNB
prZo,Gabriel Hirota,Mid,Brazil,brazil,deX
Soulsilver,Rafael Lanna,Top,Brazil,brazil,deX
Rellik,André Guerra,Ad Carry,Brazil,brazil,deX
7ico,Mateus Garcez,Top,Brazil,brazil,deX
Piolho,Alexandre von Flach,Jungle,Brazil,brazil,deX
Anjinho,Roberto Buzzoleti,Support,Brazil,brazil,deX
Jockster,Luan Cardoso,Support,Brazil,brazil,INTZ
Revolta,Gabriel Henud,Jungle,Brazil,brazil,INTZ
tockers,Gabriel Claumann,Mid,Brazil,brazil,INTZ
Yang (Felipe Zhao),Felipe Zhao,Top,Brazil,brazil,INTZ
micaO,Micael Rodrigues,Ad Carry,Brazil,brazil,INTZ
Riyev,Marcelo Carrara,Support,Brazil,brazil,JAYOB
TheFoxz,Renato de Souza,Ad Carry,Brazil,brazil,JAYOB
element,Arlindo Leal Lana Neto,Top,Brazil,brazil,JAYOB
huez0rd,Guilherme Moraes,Support,Brazil,brazil,JAYOB
Theusma,Matheus Lima,Ad Carry,Brazil,brazil,JAYOB
Oxydrean,Matheus Fidalgo,Jungle,Brazil,brazil,JAYOB
yeTz,Mateus Vieira,Mid,Brazil,brazil,JAYOB
Espeon,Martin Gonçalves,Support,Brazil,brazil,Kabum B
SkyBart,Mateus Neves,Top,Brazil,brazil,Kabum B
Danagorn,Daniel Drummond,Jungle,Brazil,brazil,Kabum B
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,Kabum B
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,Kabum B
TinOwns,Thiago Sartori,Mid,Brazil,brazil,Kabum O
BruNo (Bruno Oliveira),Bruno Oliveira,Jungle,Brazil,brazil,Kabum O
Eryon,Márcio Reis,Support/Ad Carry,Brazil,brazil,Kabum O
dans,Daniel Dias,Jungle/Support,Brazil,brazil,Kabum O
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,Kabum O
Digolera,Rodrigo Haddad,Ad Carry,Brazil,brazil,Kabum O
Emperor (Kim Jin-hyun),Kim Jin-hyun (김진현),Ad Carry,South Korea,south korea,kStars
Loop,Caio Almeida,Support,Brazil,brazil,kStars
DayDream,Kang Kyung-min (강경민),Jungle,South Korea,south korea,kStars
takeshi,Murilo Alves,Mid,Brazil,brazil,kStars
Mylon,Matheus Borges,Top,Brazil,brazil,kStars
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Brazil,brazil,paiN
Leko,Whesley Holler,Top,Brazil,brazil,paiN
SirT,Thúlio Carlos,Jungle,Brazil,brazil,paiN
brTT,Felipe Gonçalves,Ad Carry,Brazil,brazil,paiN
Dioud,Hugo Padioleau,Support,Europe,france,paiN
Kalec,Rodrigo Rodrigues,Ad Carry,Brazil,brazil,CNB e-Sports Club
Electro,Lucas Dal Prá,Mid,Brazil,brazil,CNB e-Sports Club
Aoshi,Franklin Coutinho,Top,Brazil,brazil,CNB e-Sports Club
Nappon,Carlos Rücker,Jungle,Brazil,brazil,CNB e-Sports Club
Wos,Willyan Bonpam,Support,Brazil,brazil,CNB e-Sports Club
Piolho,Alexandre von Flach,Jungle,Brazil,brazil,Dexterity Team
Soulsilver,Rafael Lanna,Top,Brazil,brazil,Dexterity Team
Rellik,André Guerra,Ad Carry,Brazil,brazil,Dexterity Team
Anjinho,Roberto Buzzoleti,Support,Brazil,brazil,Dexterity Team
prZo,Gabriel Hirota,Mid,Brazil,brazil,Dexterity Team
micaO,Micael Rodrigues,Ad Carry,Brazil,brazil,INTZ e-Sports
tockers,Gabriel Claumann,Mid,Brazil,brazil,INTZ e-Sports
Yang (Felipe Zhao),Felipe Zhao,Top,Brazil,brazil,INTZ e-Sports
Jockster,Luan Cardoso,Support,Brazil,brazil,INTZ e-Sports
Revolta,Gabriel Henud,Jungle,Brazil,brazil,INTZ e-Sports
Espeon,Martin Gonçalves,Support,Brazil,brazil,KaBuM! Black
SkyBart,Mateus Neves,Top,Brazil,brazil,KaBuM! Black
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,KaBuM! Black
Danagorn,Daniel Drummond,Jungle,Brazil,brazil,KaBuM! Black
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,KaBuM! Black
DayDream,Kang Kyung-min (강경민),Jungle,South Korea,south korea,Keyd Stars
Loop,Caio Almeida,Support,Brazil,brazil,Keyd Stars
takeshi,Murilo Alves,Mid,Brazil,brazil,Keyd Stars
Mylon,Matheus Borges,Top,Brazil,brazil,Keyd Stars
Emperor (Kim Jin-hyun),Kim Jin-hyun (김진현),Ad Carry,South Korea,south korea,Keyd Stars
brTT,Felipe Gonçalves,Ad Carry,Brazil,brazil,paiN Gaming
Dioud,Hugo Padioleau,Support,Europe,france,paiN Gaming
Leko,Whesley Holler,Top,Brazil,brazil,paiN Gaming
SirT,Thúlio Carlos,Jungle,Brazil,brazil,paiN Gaming
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Brazil,brazil,paiN Gaming
Snowlz,Guilherme Neves,Mid,Brazil,brazil,IMP
Skyer,Felipe Gimenes,Ad Carry,Brazil,brazil,IMP
blury,Daniel Sarkovas,Support,Brazil,brazil,IMP
Sessh,Bruno Alexandre,Jungle,Brazil,brazil,IMP
Thulz,Vinícius Machado,Top,Brazil,brazil,IMP
Leozuxo,Leonardo Camícia,Jungle,Brazil,brazil,INTZ R
Alocs,Leonardo Belo,Support,Brazil,brazil,INTZ R
Robo,Leonardo Souza,Top,Brazil,brazil,INTZ R
SacyR,Gustavo Rossi,Ad Carry,Brazil,brazil,INTZ R
Brucer,Bruno Pereira,Mid,Brazil,brazil,INTZ R
Ayel,Marcelo Mello,Mid,Brazil,brazil,JAYOB
BruNo (Bruno Oliveira),Bruno Oliveira,Jungle,Brazil,brazil,KaBuM O
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,KaBuM O
TinOwns,Thiago Sartori,Mid,Brazil,brazil,KaBuM O
dans,Daniel Dias,Ad Carry,Brazil,brazil,KaBuM O
Eryon,Márcio Reis,Support,Brazil,brazil,KaBuM O
Tay,Rodrigo Panisa,Mid,Brazil,brazil,kWars
Cansado,Matheus Guimarães,Ad Carry,Brazil,brazil,kWars
Zantins,Luccas Zanqueta,Top,Brazil,brazil,kWars
Zuao,João Vitor Morais,Jungle,Brazil,brazil,kWars
Professor,Matheus Leirião,Support,Brazil,brazil,kWars
StoneD YoDa,Felipe Noronha,Mid,Brazil,brazil,CNB e-Sports Club
Skyer,Felipe Gimenes,Ad Carry,Brazil,brazil,CNB e-Sports Club
pbo,Pablo Yuri,Ad Carry,Brazil,brazil,CNB e-Sports Club
Tay,Rodrigo Panisa,Mid,Brazil,brazil,g3nerationX
Professor,Matheus Leirião,Support,Brazil,brazil,g3nerationX
TheFoxz,Renato de Souza,Ad Carry,Brazil,brazil,g3nerationX
Zantins,Luccas Zanqueta,Top,Brazil,brazil,g3nerationX
Krow,Lucas Rabaça,Jungle,Brazil,brazil,g3nerationX
Jockster,Luan Cardoso,Jungle,Brazil,brazil,INTZ e-Sports
Alocs,Leonardo Belo,Support,Brazil,brazil,INTZ e-Sports
Brucer,Bruno Pereira,Mid,Brazil,brazil,INTZ Red
SacyR,Gustavo Rossi,Ad Carry,Brazil,brazil,INTZ Red
Eryon,Márcio Reis,Support,Brazil,brazil,INTZ Red
Caos (Jonas Vriesman),Jonas Vriesman,Top/Jungle,Brazil,brazil,INTZ Red
Leozuxo,Leonardo Camícia,Top/Jungle,Brazil,brazil,INTZ Red
Robo,Leonardo Souza,Top,Brazil,brazil,INTZ Red
Vash,Guilherme Del Buono,Mid,Brazil,brazil,KaBuM! Black
element,Arlindo Leal Lana Neto,Top,Brazil,brazil,KaBuM! Black
Minerva,Gustavo Alves,Ad Carry/Jungle,Brazil,brazil, KaBuM! Orange
dans,Daniel Dias,Ad Carry,Brazil,brazil, KaBuM! Orange
BruNo (Bruno Oliveira),Bruno Oliveira,Jungle,Brazil,brazil, KaBuM! Orange
TinOwns,Thiago Sartori,Mid,Brazil,brazil, KaBuM! Orange
LEP,Pedro Luiz Marcari,Top,Brazil,brazil, KaBuM! Orange
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil, KaBuM! Orange
esA,Eidi Yanagimachi,Ad Carry,Brazil,jp,Keyd Stars
Revolta,Gabriel Henud,Jungle,Brazil,brazil,Keyd Stars
Leko,Whesley Holler,Top,Brazil,brazil,Keyd Stars
Mylon,Matheus Borges,Top,Brazil,brazil,paiN Gaming
Caos (Jonas Vriesman),Jonas Vriesman,Jungle,Brazil,brazil,INTZ Red
Yaltz,Evandro de Cerqueira,Coach,Brazil,brazil,Big Gods
Luskka,Lucas Felipe Rentechen,Ad Carry,Brazil,brazil,Big Gods
BocaJR,Emerson Alencar,Support,Brazil,brazil,Big Gods
Fafnyr,Felipe Kiss Vieira,Jungle,Brazil,brazil,Big Gods
Snowlz,Guilherme Neves,Mid,Brazil,brazil,Big Gods
Ranger,Filipe Brombilla,Top,Brazil,brazil,Big Gods
Djokovic,Thiago Maia,Coach,Brazil,brazil,CNB e-Sports Club
verfix,Jorge Silveira,Support,Brazil,brazil,g3nerationX
iVillain,William Hoag,Coach,North America,united states,g3nerationX
Leozuxo,Leonardo Camícia,Jungle,Brazil,brazil,g3nerationX
Loop,Caio Almeida,Support,Brazil,brazil,INTZ e-Sports
Abaxial,Alexander Haibel,Coach,Brazil,united states,INTZ e-Sports
Jockster,Luan Cardoso,Top,Brazil,brazil,INTZ Red
Neki,Vinícius Ghilardi,Coach,Brazil,brazil,INTZ Red
etsblade,Eduardo Souza,Coach,Brazil,brazil,KaBuM! Black
Minerva,Gustavo Alves,Jungle,Brazil,brazil,KaBuM! Orange
TinOwns,Thiago Sartori,Mid,Brazil,brazil,KaBuM! Orange
dans,Daniel Dias,Ad Carry,Brazil,brazil,KaBuM! Orange
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,KaBuM! Orange
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,KaBuM! Orange
Turtle,Gabriel Peixoto,Jungle,Brazil,brazil,Keyd Stars
Robo,Leonardo Souza,Top,Brazil,brazil,Keyd Stars
Jukaah,Ednilson Vargas,Coach,Brazil,brazil,Keyd Stars
Baiano,Gustavo Gomes,Support,Brazil,brazil,Keyd Stars
Snowlz,Guilherme Neves,Mid,Brazil,brazil,B Gods
Luskka,Lucas Felipe Rentechen,Ad Carry,Brazil,brazil,B Gods
BocaJR,Emerson Alencar,Support,Brazil,brazil,B Gods
Fafnyr,Felipe Kiss Vieira,Jungle,Brazil,brazil,B Gods
Yaltz,Evandro de Cerqueira,Coach,Brazil,brazil,B Gods
Ranger,Filipe Brombilla,Top,Brazil,brazil,B Gods
Brucer,Bruno Pereira,Mid,Brazil,brazil,Intz R
SacyR,Gustavo Rossi,Ad Carry,Brazil,brazil,Intz R
Eryon,Márcio Reis,Support,Brazil,brazil,Intz R
Caos (Jonas Vriesman),Jonas Vriesman,Jungle,Brazil,brazil,Intz R
Robo,Leonardo Souza,Top,Brazil,brazil,Intz R
Neki,Vinícius Ghilardi,Coach,Brazil,brazil,Intz R
Turtle,Gabriel Peixoto,Jungle,Brazil,brazil,Jayob
Baiano,Gustavo Gomes,Support,Brazil,brazil,Jayob
SkyBart,Mateus Neves,Top,Brazil,brazil,Jayob
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,Jayob
Pdr,Pedro Passos,Ad Carry,Brazil,brazil,Jayob
Von (Gabriel Barbosa),Gabriel Barbosa,Coach,Brazil,brazil,Jayob
Vash,Guilherme Del Buono,Mid,Brazil,brazil,Kabum B
element,Arlindo Leal Lana Neto,Top,Brazil,brazil,Kabum B
etsblade,Eduardo Souza,Coach,Brazil,brazil,Kabum B
TinOwns,Thiago Sartori,Mid,Brazil,brazil,Kabum o
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,Kabum o
Minerva,Gustavo Alves,Jungle,Brazil,brazil,Kabum o
dans,Daniel Dias,Ad Carry,Brazil,brazil,Kabum o
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,Kabum o
Pizzayolo,Ronaldo Lima,Top,Brazil,brazil,Santos Dexterity 
Anjinho,Roberto Buzzoleti,Support,Brazil,brazil,Santos Dexterity 
Preston,Bruno Andrade,Coach,Brazil,brazil,Santos Dexterity 
Zuao,João Vitor Morais,Jungle,Brazil,brazil,Santos Dexterity 
Theusma,Matheus Lima,Ad Carry,Brazil,brazil,Santos Dexterity 
prZo,Gabriel Hirota,Mid,Brazil,brazil,Santos Dexterity 
Vash,Guilherme Del Buono,Mid,Brazil,brazil,CNB e-Sports Club
Transao,Rafael Mucidas,Coach,Brazil,brazil,g3nerationX
Snowlz,Guilherme Neves,Jungle,Brazil,brazil,g3nerationX
Skyer,Felipe Gimenes,Ad Carry,Brazil,brazil,g3nerationX
Alocs,Leonardo Belo,Support,Brazil,brazil,g3nerationX
Abaxial,Alexander Haibel,Coach,North America,united states,INTZ e-Sports
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil, KaBuM! e-Sports
Galfi,Hugo Garcia,Coach,Brazil,brazil, KaBuM! e-Sports
LEP,Pedro Luiz Marcari,Top,Brazil,brazil, KaBuM! e-Sports
Minerva,Gustavo Alves,Jungle,Brazil,brazil, KaBuM! e-Sports
TinOwns,Thiago Sartori,Mid,Brazil,brazil, KaBuM! e-Sports
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil, KaBuM! e-Sports
verfix,Jorge Silveira,Support,Brazil,brazil,Keyd Stars
Von (Gabriel Barbosa),Gabriel Barbosa,Coach,Brazil,brazil,Operation Kino
SkyBart,Mateus Neves,Top,Brazil,brazil,Operation Kino
Zuao,João Vitor Morais,Jungle,Brazil,brazil,Operation Kino
EzPrince,Victor Sun,Ad Carry,Brazil,brazil,Operation Kino
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,Operation Kino
Professor,Matheus Leirião,Support,Brazil,brazil,Operation Kino
Theusma,Matheus Lima,Ad Carry,Brazil,brazil,Operation Kino
TheFoxz,Renato de Souza,Ad Carry,Brazil,brazil,paiN Gaming
MiT,Gabriel Souza,Coach,Brazil,brazil,paiN Gaming
Picoca,Matheus Tavares,Support,Brazil,brazil,paiN Gaming
brTT,Felipe Gonçalves,Ad Carry/Top,Brazil,brazil,paiN Gaming
SacyR,Gustavo Rossi,Ad Carry,Brazil,brazil,RED Canids
Neki,Vinícius Ghilardi,Coach,Brazil,brazil,RED Canids
Eryon,Márcio Reis,Support,Brazil,brazil,RED Canids
Caos (Jonas Vriesman),Jonas Vriesman,Jungle,Brazil,brazil,RED Canids
Ayel,Marcelo Mello,Top,Brazil,brazil,RED Canids
Brucer,Bruno Pereira,Mid,Brazil,brazil,RED Canids
Picoca,Matheus Tavares,Support,Brazil,brazil,INTZ
esA,Eidi Yanagimachi,Ad Carry,Brazil,jp,INTZ
Zuao,João Vitor Morais,Jungle,Brazil,brazil,INTZ
takeshi,Murilo Alves,Mid,Brazil,brazil,INTZ
Brucer,Bruno Pereira,Mid,Brazil,brazil,INTZ
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,INTZ
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,INTZ
Von (Gabriel Barbosa),Gabriel Barbosa,Coach,Brazil,brazil,INTZ
brTT,Felipe Gonçalves,Ad Carry,Brazil,brazil,INTZ
Jukaah,Ednilson Vargas,Coach,Brazil,brazil,INTZ
Baiano,Gustavo Gomes,Support,Brazil,brazil,INTZ
Abaxial,Alexander Haibel,Coach,North America,united states,INTZ
Robo,Leonardo Souza,Top,Brazil,brazil,INTZ
Professor,Matheus Leirião,Support,Brazil,brazil,INTZ
SacyR,Gustavo Rossi,Ad Carry,Brazil,brazil,INTZ
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Brazil,brazil,INTZ
TinOwns,Thiago Sartori,Mid,Brazil,brazil,INTZ
Ayel,Marcelo Mello,Top,Brazil,brazil,INTZ
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,INTZ
Galfi,Hugo Garcia,Coach,Brazil,brazil,INTZ
Eryon,Márcio Reis,Support,Brazil,brazil,INTZ
Caos (Jonas Vriesman),Jonas Vriesman,Jungle,Brazil,brazil,INTZ
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,INTZ
MiT,Gabriel Souza,Coach,Brazil,brazil,INTZ
SkyBart,Mateus Neves,Top,Brazil,brazil,INTZ
SirT,Thúlio Carlos,Jungle,Brazil,brazil,INTZ
Turtle,Gabriel Peixoto,Jungle,Brazil,brazil,INTZ
Minerva,Gustavo Alves,Jungle,Brazil,brazil,INTZ
Neki,Vinícius Ghilardi,Coach,Brazil,brazil,INTZ
Mylon,Matheus Borges,Top,Brazil,brazil,INTZ
EzPrince,Victor Sun,Ad Carry,Brazil,brazil,INTZ
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,KaBuM
Galfi,Hugo Garcia,Coach,Brazil,brazil,KaBuM
Minerva,Gustavo Alves,Jungle,Brazil,brazil,KaBuM
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,KaBuM
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,KaBuM
TinOwns,Thiago Sartori,Mid,Brazil,brazil,KaBuM
Turtle,Gabriel Peixoto,Jungle,Brazil,brazil,kStars
esA,Eidi Yanagimachi,Ad Carry,Brazil,jp,kStars
Jukaah,Ednilson Vargas,Coach,Brazil,brazil,kStars
Baiano,Gustavo Gomes,Support,Brazil,brazil,kStars
Robo,Leonardo Souza,Top,Brazil,brazil,kStars
SkyBart,Mateus Neves,Top,Brazil,brazil,OpK
EzPrince,Victor Sun,Ad Carry,Brazil,brazil,OpK
Zuao,João Vitor Morais,Jungle,Brazil,brazil,OpK
Professor,Matheus Leirião,Support,Brazil,brazil,OpK
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,OpK
Von (Gabriel Barbosa),Gabriel Barbosa,Coach,Brazil,brazil,OpK
MiT,Gabriel Souza,Coach,Brazil,brazil,paiN
Picoca,Matheus Tavares,Support,Brazil,brazil,paiN
Mylon,Matheus Borges,Top,Brazil,brazil,paiN
Eryon,Márcio Reis,Support,Brazil,brazil,REDC
Neki,Vinícius Ghilardi,Coach,Brazil,brazil,REDC
Caos (Jonas Vriesman),Jonas Vriesman,Jungle,Brazil,brazil,REDC
Brucer,Bruno Pereira,Mid,Brazil,brazil,REDC
SacyR,Gustavo Rossi,Ad Carry,Brazil,brazil,REDC
Ayel,Marcelo Mello,Top,Brazil,brazil,REDC
Zantins,Luccas Zanqueta,Top,Brazil,brazil,CNB
Skyer,Felipe Gimenes,Ad Carry,Brazil,brazil,CNB
Transao,Rafael Mucidas,Coach,Brazil,brazil,CNB
Alocs,Leonardo Belo,Support,Brazil,brazil,CNB
Djokovic,Thiago Maia,Coach,Brazil,brazil,CNB
Vash,Guilherme Del Buono,Mid,Brazil,brazil,CNB
Tay,Rodrigo Panisa,Mid,Brazil,brazil,CNB
Snowlz,Guilherme Neves,Jungle,Brazil,brazil,CNB
pbo,Pablo Yuri,Ad Carry,Brazil,brazil,CNB
Zantins,Luccas Zanqueta,Top,Brazil,brazil,g3x
Skyer,Felipe Gimenes,Ad Carry,Brazil,brazil,g3x
Transao,Rafael Mucidas,Coach,Brazil,brazil,g3x
Alocs,Leonardo Belo,Support,Brazil,brazil,g3x
Tay,Rodrigo Panisa,Mid,Brazil,brazil,g3x
Snowlz,Guilherme Neves,Jungle,Brazil,brazil,g3x
etsblade,Eduardo Souza,Coach,Brazil,brazil,OVL
Krastyel,Marcos Ferraz,Mid,Brazil,brazil,OVL
DudsTheBoy,Igor Lima Homem,Ad Carry,Brazil,brazil,OVL
Lynx (Pedro Quintavalle),Pedro Quintavalle,Top,Brazil,brazil,OVL
4LaN,Alanderson Meireles,Jungle,Brazil,brazil,OVL
Espeon,Martin Gonçalves,Support,Brazil,brazil,OVL
Freire,Matheus Freire,Jungle,Brazil,brazil,RBRV
FeeFoo,Sylvio Junior,Coach,Brazil,brazil,RBRV
Cansado,Matheus Guimarães,Ad Carry,Brazil,brazil,RBRV
Thulz,Vinícius Machado,Top,Brazil,brazil,RBRV
Cabuloso,Victor Oliveira,Support,Brazil,brazil,RBRV
Evrot,Danniel Franco,Mid,Brazil,brazil,RBRV
Dionrray,João Pedro Barbosa,Coach,Europe,ch,Big Gods
Tierwulf,Sebastián Mateluna,Jungle,Latin America,cl,Big Gods
RedBert,Ygor Freitas,Support,Brazil,brazil,Big Gods
Rakin,Rafael Knittel,Mid,Brazil,brazil,Big Gods
TinOwns,Thiago Sartori,Mid,Brazil,brazil,CNB e-Sports Club
Minerva,Gustavo Alves,Jungle,Brazil,brazil,CNB e-Sports Club
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,CNB e-Sports Club
Vash,Guilherme Del Buono,Mid,Brazil,brazil,KaBuM! e-Sports
Zantins,Luccas Zanqueta,Top,Brazil,brazil,KaBuM! e-Sports
Zuao,João Vitor Morais,Jungle,Brazil,brazil,KaBuM! e-Sports
Matsukaze,Pedro Gama,Ad Carry,Brazil,brazil,KaBuM! e-Sports
Danagorn,Daniel Drummond,Jungle,Brazil,brazil,KaBuM! e-Sports
Galfi,Hugo Garcia,Coach,Brazil,brazil,KaBuM! e-Sports
verfix,Jorge Silveira,Support,Brazil,brazil,KaBuM! e-Sports
VVvert,Álvaro Miguel Martins,Top,Brazil,brazil,KaBuM! e-Sports
Nappon,Carlos Rücker,Jungle,Brazil,brazil,Keyd Stars
Alocs,Leonardo Belo,Coach,Brazil,brazil,Keyd Stars
Von (Gabriel Barbosa),Gabriel Barbosa,Coach,Brazil,brazil,Operation Kino e-Sports
Professor,Matheus Leirião,Support,Brazil,brazil,Operation Kino e-Sports
Goku,Bruno Miyaguchi,Mid,Brazil,brazil,Operation Kino e-Sports
Turtle,Gabriel Peixoto,Jungle,Brazil,brazil,Operation Kino e-Sports
Skyer,Felipe Gimenes,Ad Carry,Brazil,brazil,Operation Kino e-Sports
SkyBart,Mateus Neves,Top,Brazil,brazil,Operation Kino e-Sports
Tay,Rodrigo Panisa,Ad Carry,Brazil,brazil,paiN Gaming
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,paiN Gaming
Dioud,Hugo Padioleau,Support,Europe,france,RED Canids
StoneD YoDa,Felipe Noronha,Jungle,Brazil,brazil,RED Canids
Eryon,Márcio Reis,Top,Brazil,brazil,RED Canids
Minerva,Gustavo Alves,Jungle,Brazil,brazil,CNB
micaO,Micael Rodrigues,Ad Carry,Brazil,brazil,CNB
Jockster,Luan Cardoso,Support,Brazil,brazil,CNB
Tay,Rodrigo Panisa,Ad Carry,Brazil,brazil,CNB
Robo,Leonardo Souza,Top,Brazil,brazil,CNB
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,CNB
Revolta,Gabriel Henud,Jungle,Brazil,brazil,CNB
SirT,Thúlio Carlos,Jungle,Brazil,brazil,CNB
Mylon,Matheus Borges,Top,Brazil,brazil,CNB
LEP,Pedro Luiz Marcari,Top,Brazil,brazil,CNB
Yang (Felipe Zhao),Felipe Zhao,Top,Brazil,brazil,CNB
tockers,Gabriel Claumann,Mid,Brazil,brazil,CNB
MiT,Gabriel Souza,Coach,Brazil,brazil,CNB
takeshi,Murilo Alves,Mid,Brazil,brazil,CNB
Baiano,Gustavo Gomes,Support,Brazil,brazil,CNB
Alocs,Leonardo Belo,Coach,Brazil,brazil,CNB
esA,Eidi Yanagimachi,Ad Carry,Brazil,jp,CNB
Abaxial,Alexander Haibel,Coach,North America,united states,CNB
Kami (Gabriel Bohm Santos),Gabriel Santos,Mid,Brazil,brazil,CNB
TinOwns,Thiago Sartori,Mid,Brazil,brazil,CNB
Nappon,Carlos Rücker,Jungle,Brazil,brazil,kStars
Alocs,Leonardo Belo,Coach,Brazil,brazil,kStars
ziriguidun,Pedro Vilarinho,Support,Brazil,brazil,paiN
