From,To
Ziv (Chen Yi) (Chen Yi (陳奕)),Kongyue (Hsiao Jen-Tso (蕭任佐))
Ziv (Chen Yi) (Chen Yi (陳奕)),Uniboy (Chen Chang-Chu (陳昌駒))
Ziv (Chen Yi) (Chen Yi (陳奕)),Wako (Tsou Wei-Yang (鄒惟洋))
Ziv (Chen Yi) (Chen Yi (陳奕)),Ysera (Wang Tsung-Chih (汪宗志))
Ziv (Chen Yi) (Chen Yi (陳奕)),GreenTea (Tsai Shang-Ching (蔡尚精))
Ziv (Chen Yi) (Chen Yi (陳奕)),Zero (Chung Chen-Hua) (Chung Chen-Hua (鍾震華))
Kongyue (Hsiao Jen-Tso (蕭任佐)),Uniboy (Chen Chang-Chu (陳昌駒))
Kongyue (Hsiao Jen-Tso (蕭任佐)),Wako (Tsou Wei-Yang (鄒惟洋))
Kongyue (Hsiao Jen-Tso (蕭任佐)),Ysera (Wang Tsung-Chih (汪宗志))
Kongyue (Hsiao Jen-Tso (蕭任佐)),GreenTea (Tsai Shang-Ching (蔡尚精))
Kongyue (Hsiao Jen-Tso (蕭任佐)),Zero (Chung Chen-Hua) (Chung Chen-Hua (鍾震華))
Uniboy (Chen Chang-Chu (陳昌駒)),Wako (Tsou Wei-Yang (鄒惟洋))
Uniboy (Chen Chang-Chu (陳昌駒)),Ysera (Wang Tsung-Chih (汪宗志))
Uniboy (Chen Chang-Chu (陳昌駒)),GreenTea (Tsai Shang-Ching (蔡尚精))
Uniboy (Chen Chang-Chu (陳昌駒)),Zero (Chung Chen-Hua) (Chung Chen-Hua (鍾震華))
Wako (Tsou Wei-Yang (鄒惟洋)),Ysera (Wang Tsung-Chih (汪宗志))
Wako (Tsou Wei-Yang (鄒惟洋)),GreenTea (Tsai Shang-Ching (蔡尚精))
Wako (Tsou Wei-Yang (鄒惟洋)),Zero (Chung Chen-Hua) (Chung Chen-Hua (鍾震華))
Ysera (Wang Tsung-Chih (汪宗志)),GreenTea (Tsai Shang-Ching (蔡尚精))
Ysera (Wang Tsung-Chih (汪宗志)),Zero (Chung Chen-Hua) (Chung Chen-Hua (鍾震華))
GreenTea (Tsai Shang-Ching (蔡尚精)),Zero (Chung Chen-Hua) (Chung Chen-Hua (鍾震華))
Rock (Tsai Chung-Ting) (Tsai Chung-Ting (蔡忠廷)),Catjug (Chen Yi-Jie (陈艺杰))
Rock (Tsai Chung-Ting) (Tsai Chung-Ting (蔡忠廷)),Assassin (Zhou Yi-Xiang (周翼翔))
Rock (Tsai Chung-Ting) (Tsai Chung-Ting (蔡忠廷)),Atlen (Sung Ya-Lun (宋亞倫))
Rock (Tsai Chung-Ting) (Tsai Chung-Ting (蔡忠廷)),Kino (Wu Hsin-Jung (吳欣榮))
Rock (Tsai Chung-Ting) (Tsai Chung-Ting (蔡忠廷)),Radiance (Hu Yuan) (Hu Yuan (胡原))
Rock (Tsai Chung-Ting) (Tsai Chung-Ting (蔡忠廷)),Yuwan (Hsu Chi-Chun (徐麒鈞))
Catjug (Chen Yi-Jie (陈艺杰)),Assassin (Zhou Yi-Xiang (周翼翔))
Catjug (Chen Yi-Jie (陈艺杰)),Atlen (Sung Ya-Lun (宋亞倫))
Catjug (Chen Yi-Jie (陈艺杰)),Kino (Wu Hsin-Jung (吳欣榮))
Catjug (Chen Yi-Jie (陈艺杰)),Radiance (Hu Yuan) (Hu Yuan (胡原))
Catjug (Chen Yi-Jie (陈艺杰)),Yuwan (Hsu Chi-Chun (徐麒鈞))
Assassin (Zhou Yi-Xiang (周翼翔)),Atlen (Sung Ya-Lun (宋亞倫))
Assassin (Zhou Yi-Xiang (周翼翔)),Kino (Wu Hsin-Jung (吳欣榮))
Assassin (Zhou Yi-Xiang (周翼翔)),Radiance (Hu Yuan) (Hu Yuan (胡原))
Assassin (Zhou Yi-Xiang (周翼翔)),Yuwan (Hsu Chi-Chun (徐麒鈞))
Atlen (Sung Ya-Lun (宋亞倫)),Kino (Wu Hsin-Jung (吳欣榮))
Atlen (Sung Ya-Lun (宋亞倫)),Radiance (Hu Yuan) (Hu Yuan (胡原))
