From,To
Jer0m (Jerónimo Pujades Tárraga),Dolce (Rasih Burak)
Jer0m (Jerónimo Pujades Tárraga),MrMagoo (Doruk Aksoy)
Jer0m (Jerónimo Pujades Tárraga),Lvsyan (Sergi Madrigal Gómez)
Jer0m (Jerónimo Pujades Tárraga),Ciyansan (Cihan Çilingir)
Jer0m (Jerónimo Pujades Tárraga),Terap1st (Rüştü Özkök)
Dolce (Rasih Burak),MrMagoo (Doruk Aksoy)
Dolce (Rasih Burak),Lvsyan (Sergi Madrigal Gómez)
Dolce (Rasih Burak),Ciyansan (Cihan Çilingir)
Dolce (Rasih Burak),Terap1st (Rüştü Özkök)
MrMagoo (Doruk Aksoy),Ciyansan (Cihan Çilingir)
MrMagoo (Doruk Aksoy),Terap1st (Rüştü Özkök)
Lvsyan (Sergi Madrigal Gómez),Ciyansan (Cihan Çilingir)
Lvsyan (Sergi Madrigal Gómez),Terap1st (Rüştü Özkök)
Ciyansan (Cihan Çilingir),Terap1st (Rüştü Özkök)
Thaldrin (Berke Demir),Auspexa (Salih Kızıldağ)
Thaldrin (Berke Demir),Theokoles (Muhammed Işık)
Thaldrin (Berke Demir),Energy (Isak Pettersen Fjell)
Thaldrin (Berke Demir),Nardeus (Tomáš Maršálek)
Thaldrin (Berke Demir),Honos (Ozan İnanç Aydoğdu)
Thaldrin (Berke Demir),Tyresse (Coşkun Eren)
Auspexa (Salih Kızıldağ),Energy (Isak Pettersen Fjell)
Auspexa (Salih Kızıldağ),Nardeus (Tomáš Maršálek)
Theokoles (Muhammed Işık),Energy (Isak Pettersen Fjell)
Theokoles (Muhammed Işık),Nardeus (Tomáš Maršálek)
Theokoles (Muhammed Işık),Honos (Ozan İnanç Aydoğdu)
Theokoles (Muhammed Işık),Tyresse (Coşkun Eren)
Energy (Isak Pettersen Fjell),Nardeus (Tomáš Maršálek)
Honos (Ozan İnanç Aydoğdu),Tyresse (Coşkun Eren)
Marshall (Yiğit Kırdök),Adaniel (Doğukan Karasakal)
