From,To
Leko (Whesley Holler),Revolta (Gabriel Henud)
Leko (Whesley Holler),takeshi (Murilo Alves)
Leko (Whesley Holler),manajj (André Rocha)
Leko (Whesley Holler),Alocs (Leonardo Belo)
Revolta (Gabriel Henud),takeshi (Murilo Alves)
Revolta (Gabriel Henud),manajj (André Rocha)
Revolta (Gabriel Henud),Alocs (Leonardo Belo)
takeshi (Murilo Alves),manajj (André Rocha)
takeshi (Murilo Alves),Alocs (Leonardo Belo)
manajj (André Rocha),Alocs (Leonardo Belo)
LEP (Pedro Luiz Marcari),Danagorn (Daniel Drummond)
LEP (Pedro Luiz Marcari),TinOwns (Thiago Sartori)
LEP (Pedro Luiz Marcari),dans (Daniel Dias)
LEP (Pedro Luiz Marcari),bit1 (Bruno Lima)
LEP (Pedro Luiz Marcari),Espeon (Martin Gonçalves)
Danagorn (Daniel Drummond),TinOwns (Thiago Sartori)
Danagorn (Daniel Drummond),dans (Daniel Dias)
Danagorn (Daniel Drummond),bit1 (Bruno Lima)
Danagorn (Daniel Drummond),Espeon (Martin Gonçalves)
TinOwns (Thiago Sartori),dans (Daniel Dias)
TinOwns (Thiago Sartori),bit1 (Bruno Lima)
TinOwns (Thiago Sartori),Espeon (Martin Gonçalves)
dans (Daniel Dias),bit1 (Bruno Lima)
dans (Daniel Dias),Espeon (Martin Gonçalves)
Mylon (Matheus Borges),Winged (Park Tae Jin (박태진))
Mylon (Matheus Borges),SuNo (An Sun-ho (안순호))
Mylon (Matheus Borges),brTT (Felipe Gonçalves)
Mylon (Matheus Borges),Loop (Caio Almeida)
Winged (Park Tae Jin (박태진)),SuNo (An Sun-ho (안순호))
Winged (Park Tae Jin (박태진)),brTT (Felipe Gonçalves)
Winged (Park Tae Jin (박태진)),Loop (Caio Almeida)
SuNo (An Sun-ho (안순호)),brTT (Felipe Gonçalves)
SuNo (An Sun-ho (안순호)),Loop (Caio Almeida)
brTT (Felipe Gonçalves),Loop (Caio Almeida)
Venon (Fabio Guimarães),SirT (Thúlio Carlos)
Venon (Fabio Guimarães),Kami (Gabriel Bohm Santos) (Gabriel Santos)
Venon (Fabio Guimarães),owN (Marcelo Shiwa)
Venon (Fabio Guimarães),Minerva (Gustavo Alves)
SirT (Thúlio Carlos),Kami (Gabriel Bohm Santos) (Gabriel Santos)
SirT (Thúlio Carlos),owN (Marcelo Shiwa)
SirT (Thúlio Carlos),Minerva (Gustavo Alves)
Kami (Gabriel Bohm Santos) (Gabriel Santos),owN (Marcelo Shiwa)
Kami (Gabriel Bohm Santos) (Gabriel Santos),Minerva (Gustavo Alves)
owN (Marcelo Shiwa),Minerva (Gustavo Alves)
element (Arlindo Leal Neto),Turtle (Gabriel Peixoto)
element (Arlindo Leal Neto),yeTz (Mateus Vieira)
element (Arlindo Leal Neto),Digolera (Rodrigo Haddad)
element (Arlindo Leal Neto),Gigante (Kim Gutman)
Turtle (Gabriel Peixoto),yeTz (Mateus Vieira)
Turtle (Gabriel Peixoto),Digolera (Rodrigo Haddad)
Turtle (Gabriel Peixoto),Gigante (Kim Gutman)
yeTz (Mateus Vieira),Digolera (Rodrigo Haddad)
yeTz (Mateus Vieira),Gigante (Kim Gutman)
Digolera (Rodrigo Haddad),Gigante (Kim Gutman)
w0lv (Michel Bruno),Jockster (Luan Cardoso)
w0lv (Michel Bruno),Fire (Guilherme Bruno)
w0lv (Michel Bruno),micaO (Micael Rodrigues)
w0lv (Michel Bruno),Eryon (Márcio Reis)
Jockster (Luan Cardoso),Fire (Guilherme Bruno)
Jockster (Luan Cardoso),micaO (Micael Rodrigues)
Jockster (Luan Cardoso),Eryon (Márcio Reis)
Fire (Guilherme Bruno),micaO (Micael Rodrigues)
Fire (Guilherme Bruno),Eryon (Márcio Reis)
micaO (Micael Rodrigues),Eryon (Márcio Reis)
bet0 (Roberto Alves),Xnove (Marcelo Roma)
bet0 (Roberto Alves),FifoyZ (Felipe Cheida)
bet0 (Roberto Alves),RMN (Ramon Gomes)
bet0 (Roberto Alves),Floky (Kaoann Martins) (Kaoann Martins)
Xnove (Marcelo Roma),FifoyZ (Felipe Cheida)
Xnove (Marcelo Roma),RMN (Ramon Gomes)
Xnove (Marcelo Roma),Floky (Kaoann Martins) (Kaoann Martins)
FifoyZ (Felipe Cheida),RMN (Ramon Gomes)
FifoyZ (Felipe Cheida),Floky (Kaoann Martins) (Kaoann Martins)
RMN (Ramon Gomes),Floky (Kaoann Martins) (Kaoann Martins)
Yang (Felipe Zhao) (Felipe Zhao),Djokovic (Thiago Maia)
Yang (Felipe Zhao) (Felipe Zhao),tockers (Gabriel Claumann)
Yang (Felipe Zhao) (Felipe Zhao),micaO (Micael Rodrigues)
Yang (Felipe Zhao) (Felipe Zhao),Jockster (Luan Cardoso)
Djokovic (Thiago Maia),tockers (Gabriel Claumann)
Djokovic (Thiago Maia),micaO (Micael Rodrigues)
Djokovic (Thiago Maia),Jockster (Luan Cardoso)
tockers (Gabriel Claumann),micaO (Micael Rodrigues)
tockers (Gabriel Claumann),Jockster (Luan Cardoso)
LEP (Pedro Luiz Marcari),Minerva (Gustavo Alves)
Danagorn (Daniel Drummond),Minerva (Gustavo Alves)
TinOwns (Thiago Sartori),Minerva (Gustavo Alves)
Minerva (Gustavo Alves),dans (Daniel Dias)
Kaov (Luigi Mataratzis),Tecnosh (Joseph Touma)
Kaov (Luigi Mataratzis),StoneD YoDa (Felipe Noronha)
Kaov (Luigi Mataratzis),DreamsDY (Thiago Portes)
Kaov (Luigi Mataratzis),Anjinho (Roberto Buzzoleti)
