From,To
NoNHoly (Aleksandr Ovchinikov),MightyDragon (Yaroslav Svistun)
NoNHoly (Aleksandr Ovchinikov),Griffon (Nikita Gudkov)
NoNHoly (Aleksandr Ovchinikov),Kinzu (Vladyslav Belokon)
NoNHoly (Aleksandr Ovchinikov),Jestkui Max (Maksim Filipenko)
MightyDragon (Yaroslav Svistun),Griffon (Nikita Gudkov)
MightyDragon (Yaroslav Svistun),Kinzu (Vladyslav Belokon)
MightyDragon (Yaroslav Svistun),Jestkui Max (Maksim Filipenko)
Griffon (Nikita Gudkov),Kinzu (Vladyslav Belokon)
Griffon (Nikita Gudkov),Jestkui Max (Maksim Filipenko)
Kinzu (Vladyslav Belokon),Jestkui Max (Maksim Filipenko)
Romuka (Roman Vlasov),BullyMaguire (Stepan Leontyev)
Romuka (Roman Vlasov),Stepan (Stepan Hrabik)
Romuka (Roman Vlasov),Ferrari810 (Damir Garifullin)
Romuka (Roman Vlasov),Valhalla (Ilya Atnazhaev)
Romuka (Roman Vlasov),SimSin (Vladislav Samokha)
BullyMaguire (Stepan Leontyev),Stepan (Stepan Hrabik)
BullyMaguire (Stepan Leontyev),Ferrari810 (Damir Garifullin)
BullyMaguire (Stepan Leontyev),Valhalla (Ilya Atnazhaev)
BullyMaguire (Stepan Leontyev),SimSin (Vladislav Samokha)
Stepan (Stepan Hrabik),Valhalla (Ilya Atnazhaev)
Stepan (Stepan Hrabik),SimSin (Vladislav Samokha)
Ferrari810 (Damir Garifullin),Valhalla (Ilya Atnazhaev)
Ferrari810 (Damir Garifullin),SimSin (Vladislav Samokha)
Valhalla (Ilya Atnazhaev),SimSin (Vladislav Samokha)
Maynter (Vladimir Sorokin),itsCORTEZ (Ilya Pigulev)
Maynter (Vladimir Sorokin),Laynel (Laynel Feldshtein)
Maynter (Vladimir Sorokin),Argonavt (Andrey Yakovlev)
Maynter (Vladimir Sorokin),Dimonko (Dmitrii Korovushkin)
itsCORTEZ (Ilya Pigulev),Laynel (Laynel Feldshtein)
itsCORTEZ (Ilya Pigulev),Argonavt (Andrey Yakovlev)
itsCORTEZ (Ilya Pigulev),Dimonko (Dmitrii Korovushkin)
Laynel (Laynel Feldshtein),Argonavt (Andrey Yakovlev)
Laynel (Laynel Feldshtein),Dimonko (Dmitrii Korovushkin)
Argonavt (Andrey Yakovlev),Dimonko (Dmitrii Korovushkin)
Dreampullka (Mark Leksin),PvPStejos (Alexander Glazkov)
Dreampullka (Mark Leksin),Four (Stanimir Penchev)
Dreampullka (Mark Leksin),Phlaty (Alexey Lemeshchuk)
Dreampullka (Mark Leksin),Shiganari (Artjoms Pervušins)
Dreampullka (Mark Leksin),Lekcyc (Alexander Lexikov)
PvPStejos (Alexander Glazkov),Phlaty (Alexey Lemeshchuk)
PvPStejos (Alexander Glazkov),Shiganari (Artjoms Pervušins)
PvPStejos (Alexander Glazkov),Lekcyc (Alexander Lexikov)
Four (Stanimir Penchev),Phlaty (Alexey Lemeshchuk)
Four (Stanimir Penchev),Shiganari (Artjoms Pervušins)
Four (Stanimir Penchev),Lekcyc (Alexander Lexikov)
Phlaty (Alexey Lemeshchuk),Shiganari (Artjoms Pervušins)
Phlaty (Alexey Lemeshchuk),Lekcyc (Alexander Lexikov)
Shiganari (Artjoms Pervušins),Lekcyc (Alexander Lexikov)
Smurf (Dmitri Ivanov) (Dmitri Ivanov),Kreox (Ilya Grom)
Smurf (Dmitri Ivanov) (Dmitri Ivanov),Xonix (Khaled Noman)
Smurf (Dmitri Ivanov) (Dmitri Ivanov),Mirbs (Alex Holmin)
Smurf (Dmitri Ivanov) (Dmitri Ivanov),Adept (Andreas Blikfeldt)
Kreox (Ilya Grom),Xonix (Khaled Noman)
Kreox (Ilya Grom),Mirbs (Alex Holmin)
Kreox (Ilya Grom),Adept (Andreas Blikfeldt)
Xonix (Khaled Noman),Mirbs (Alex Holmin)
Xonix (Khaled Noman),Adept (Andreas Blikfeldt)
Mirbs (Alex Holmin),Adept (Andreas Blikfeldt)
Gimliques (Roman Generalov),Balkane (Cristian Lengyel)
Gimliques (Roman Generalov),Jenxas (Liutauras Macius)
